index	label
1	HIP-head-m-rh
2	HIP-head-l-rh
3	HIP-body-rh
4	HIP-tail-rh
5	THA-VPm-rh
6	THA-VPl-rh
7	THA-VAi-rh
8	THA-VAs-rh
9	THA-DAm-rh
10	THA-DAl-rh
11	PUT-VA-rh
12	PUT-DA-rh
13	PUT-VP-rh
14	PUT-DP-rh
15	CAU-VA-rh
16	CAU-DA-rh
17	CAU-body-rh
18	CAU-tail-rh
19	lAMY-rh
20	mAMY-rh
21	THA-DP-rh
22	NAc-shell-rh
23	NAc-core-rh
24	pGP-rh
25	aGP-rh
26	HIP-head-m-lh
27	HIP-head-l-lh
28	HIP-body-lh
29	HIP-tail-lh
30	THA-VPm-lh
31	THA-VPl-lh
32	THA-VAi-lh
33	THA-VAs-lh
34	THA-DAm-lh
35	THA-DAl-lh
36	PUT-VA-lh
37	PUT-DA-lh
38	PUT-VP-lh
39	PUT-DP-lh
40	CAU-VA-lh
41	CAU-DA-lh
42	CAU-body-lh
43	CAU-tail-lh
44	lAMY-lh
45	mAMY-lh
46	THA-DP-lh
47	NAc-shell-lh
48	NAc-core-lh
49	pGP-lh
50	aGP-lh
51	7Networks_LH_Vis_1
52	7Networks_LH_Vis_2
53	7Networks_LH_Vis_3
54	7Networks_LH_Vis_4
55	7Networks_LH_Vis_5
56	7Networks_LH_Vis_6
57	7Networks_LH_Vis_7
58	7Networks_LH_Vis_8
59	7Networks_LH_Vis_9
60	7Networks_LH_Vis_10
61	7Networks_LH_Vis_11
62	7Networks_LH_Vis_12
63	7Networks_LH_Vis_13
64	7Networks_LH_Vis_14
65	7Networks_LH_Vis_15
66	7Networks_LH_Vis_16
67	7Networks_LH_Vis_17
68	7Networks_LH_Vis_18
69	7Networks_LH_Vis_19
70	7Networks_LH_Vis_20
71	7Networks_LH_Vis_21
72	7Networks_LH_Vis_22
73	7Networks_LH_Vis_23
74	7Networks_LH_Vis_24
75	7Networks_LH_Vis_25
76	7Networks_LH_Vis_26
77	7Networks_LH_Vis_27
78	7Networks_LH_Vis_28
79	7Networks_LH_Vis_29
80	7Networks_LH_Vis_30
81	7Networks_LH_Vis_31
82	7Networks_LH_SomMot_1
83	7Networks_LH_SomMot_2
84	7Networks_LH_SomMot_3
85	7Networks_LH_SomMot_4
86	7Networks_LH_SomMot_5
87	7Networks_LH_SomMot_6
88	7Networks_LH_SomMot_7
89	7Networks_LH_SomMot_8
90	7Networks_LH_SomMot_9
91	7Networks_LH_SomMot_10
92	7Networks_LH_SomMot_11
93	7Networks_LH_SomMot_12
94	7Networks_LH_SomMot_13
95	7Networks_LH_SomMot_14
96	7Networks_LH_SomMot_15
97	7Networks_LH_SomMot_16
98	7Networks_LH_SomMot_17
99	7Networks_LH_SomMot_18
100	7Networks_LH_SomMot_19
101	7Networks_LH_SomMot_20
102	7Networks_LH_SomMot_21
103	7Networks_LH_SomMot_22
104	7Networks_LH_SomMot_23
105	7Networks_LH_SomMot_24
106	7Networks_LH_SomMot_25
107	7Networks_LH_SomMot_26
108	7Networks_LH_SomMot_27
109	7Networks_LH_SomMot_28
110	7Networks_LH_SomMot_29
111	7Networks_LH_SomMot_30
112	7Networks_LH_SomMot_31
113	7Networks_LH_SomMot_32
114	7Networks_LH_SomMot_33
115	7Networks_LH_SomMot_34
116	7Networks_LH_SomMot_35
117	7Networks_LH_SomMot_36
118	7Networks_LH_SomMot_37
119	7Networks_LH_DorsAttn_Post_1
120	7Networks_LH_DorsAttn_Post_2
121	7Networks_LH_DorsAttn_Post_3
122	7Networks_LH_DorsAttn_Post_4
123	7Networks_LH_DorsAttn_Post_5
124	7Networks_LH_DorsAttn_Post_6
125	7Networks_LH_DorsAttn_Post_7
126	7Networks_LH_DorsAttn_Post_8
127	7Networks_LH_DorsAttn_Post_9
128	7Networks_LH_DorsAttn_Post_10
129	7Networks_LH_DorsAttn_Post_11
130	7Networks_LH_DorsAttn_Post_12
131	7Networks_LH_DorsAttn_Post_13
132	7Networks_LH_DorsAttn_Post_14
133	7Networks_LH_DorsAttn_Post_15
134	7Networks_LH_DorsAttn_Post_16
135	7Networks_LH_DorsAttn_Post_17
136	7Networks_LH_DorsAttn_FEF_1
137	7Networks_LH_DorsAttn_FEF_2
138	7Networks_LH_DorsAttn_FEF_3
139	7Networks_LH_DorsAttn_FEF_4
